chaveTituloAno	ano	autor	instituicao	cidade	cidadeReconciliada	latitude	longitude	estado	pais
opedws2017	2017	Miriam Capretz	UWO	Ontario	Ontario	50	-85		Canadá
dvotbn2017	2017	César Henrique C. Dos Santos	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
dvotbn2017	2017	Maykon Carlos De Freitas	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
dvotbn2017	2017	Robson Rodrigues Lemos	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
dvotbn2017	2017	Alexandre Leopoldo Gonçalves	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
vdidvd2017	2017	Lucas Ladeira	UNIVEM	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
vdidvd2017	2017	Leonardo Castro Botega	Stratelli	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
vdidvd2017	2017	João Henrique Martins	Stratelli	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
vdidvd2017	2017	Vagner Pagotti	Stratelli	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
adedun2017	2017	Victor Ubiracy Borba	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
adedun2017	2017	Elaine Parra Affonso	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
adedun2017	2017	Ricardo Cesar Gonçalves Sant’ana	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
pdgddn2017	2017	Elizabete Cristina De Souza De Aguiar Monteiro	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
pdgddn2017	2017	Ricardo Cesar Gonçalves Sant’ana	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
rddcas2017	2017	Elizabete Cristina De Souza De Aguiar Monteiro	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
rddcas2017	2017	Elaine Parra Affonso	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
rddcas2017	2017	Victor Ubiracy Borba	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
rddcas2017	2017	Ricardo Cesar Gonçalves Sant’ana	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
rdsppd2017	2017	Gislaine Parra Freund	Digitro	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
rdsppd2017	2017	Priscila Basto Fagundes	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
rdsppd2017	2017	Douglas Dyllon Jeronimo de Macedo	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
adieas2017	2017	Jean Fernandes Brito	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
adieas2017	2017	Rafaela Carolina Da Silva	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
